ST,PUMA,prcnt_non_cit,prcnt_non_white,total_workforce,DOs
6,1308,0.10860432550178932,0.6986325052296735,57843,"[""San Jose District Office""]"
6,1309,0.061628649175261195,0.46516276413478014,59534,"[""San Jose District Office""]"
6,1500,0.02794190054160512,0.21210815690136223,48744,"[""San Jose District Office"", ""Sacramento District Office""]"
6,1700,0.049301552106430155,0.21248337028824835,90200,"[""Sacramento District Office""]"
6,1901,0.33303073531318894,0.8248605887692906,61688,"[""Sacramento District Office""]"
6,1902,0.06743694460976461,0.5237240133806719,97454,"[""Sacramento District Office""]"
6,1903,0.1517533650995806,0.7694824443907687,45541,"[""Sacramento District Office""]"
6,1904,0.14951603027579108,0.7682807675772854,76761,"[""Sacramento District Office""]"
6,1905,0.2399637007908042,0.868220906615963,46282,"[""Sacramento District Office""]"
6,1906,0.058879192513931235,0.45412329583289524,57066,"[""Sacramento District Office""]"
6,1907,0.24096179205699508,0.697008100563443,58391,"[""Sacramento District Office""]"
6,2300,0.04394875348302348,0.24268380781081839,67829,"[""San Jose District Office""]"
6,2500,0.17838693431182098,0.8832002302323908,69495,"[""San Diego District Office""]"
6,2901,0.2513140882342279,0.7079521973971991,82757,"[""Sacramento District Office""]"
6,2902,0.09095571892631218,0.583831994073061,105282,"[""Sacramento District Office""]"
6,2903,0.20946390696994077,0.7560886418488993,68365,"[""Sacramento District Office""]"
6,2904,0.336923713045276,0.8671490593342981,48370,"[""Sacramento District Office""]"
6,2905,0.0988936374166234,0.4253038835856266,75111,"[""Sacramento District Office""]"
6,3100,0.16866430973527635,0.6476847460550142,57985,"[""Sacramento District Office""]"
6,3300,0.10004534882019925,0.318056144765137,68359,"[""Sacramento District Office"", ""San Jose District Office""]"
6,3701,0.07110286235420234,0.45509671845250477,62501,"[""Los Angeles District Office""]"
6,3702,0.10121855541100176,0.52451511028572,100693,"[""Los Angeles District Office""]"
6,3703,0.050028309008555615,0.6280982637141419,63584,"[""Los Angeles District Office""]"
6,3704,0.14321200993627822,0.7697510530294849,74072,"[""Los Angeles District Office""]"
6,3705,0.13524274733957947,0.5906184900510021,97447,"[""Los Angeles District Office""]"
6,3706,0.17930360314466276,0.7496661205270477,72631,"[""Los Angeles District Office""]"
6,3707,0.26283115856069594,0.9404771319362066,75870,"[""Los Angeles District Office""]"
6,3708,0.19529831825614713,0.612583824654575,66657,"[""Los Angeles District Office""]"
6,3709,0.0846372564411185,0.4928218814869084,57327,"[""Los Angeles District Office""]"
6,3710,0.21238031958347403,0.8594224841243042,91807,"[""Los Angeles District Office""]"
6,3711,0.06893732333496858,0.5433106734879809,85614,"[""Los Angeles District Office""]"
6,3712,0.23288535639004873,0.8969429265738491,74483,"[""Los Angeles District Office""]"
6,3713,0.12416800952848035,0.8321130806417711,57092,"[""Los Angeles District Office""]"
6,3714,0.1861740333911459,0.8583591738056446,57081,"[""Los Angeles District Office""]"
6,3715,0.1674031159989526,0.9104968578161823,61104,"[""Los Angeles District Office""]"
6,3716,0.2186254271070615,0.9677356207289294,56192,"[""Los Angeles District Office""]"
6,3717,0.19990821286271565,0.8155808665540188,95874,"[""Los Angeles District Office""]"
6,3718,0.15481187810945274,0.623147284411277,77184,"[""Los Angeles District Office""]"
6,3719,0.20226404279709592,0.4102407336645013,104680,"[""Los Angeles District Office""]"
6,3720,0.1065517956005566,0.4467241021997217,67554,"[""Los Angeles District Office""]"
6,3721,0.17021987483454773,0.5406273693408895,77817,"[""Los Angeles District Office""]"
6,3722,0.2692947730725899,0.645391683634973,96749,"[""Los Angeles District Office""]"
6,3723,0.3468087262776497,0.8871968986748423,78934,"[""Los Angeles District Office""]"
6,3724,0.1746471979769965,0.5445081164858472,98072,"[""Los Angeles District Office""]"
6,3725,0.21536304380779142,0.5667159314840079,105552,"[""Los Angeles District Office""]"
6,3726,0.05752616149261265,0.21183528452443356,51507,"[""Los Angeles District Office""]"
6,3727,0.06594031264803411,0.2586872993315438,94995,"[""Los Angeles District Office""]"
6,3728,0.0909221327807444,0.3168884992428469,62735,"[""Los Angeles District Office""]"
6,3729,0.14048334616626512,0.4732619656739773,120783,"[""Los Angeles District Office""]"
6,3730,0.18503278770586173,0.5342644040646743,99885,"[""Los Angeles District Office""]"
6,3731,0.09654607508532423,0.25666894197952217,73250,"[""Los Angeles District Office""]"
6,3732,0.2482640454504464,0.5845702948868248,110890,"[""Los Angeles District Office""]"
6,3733,0.442366948873665,0.8961019535106352,66854,"[""Los Angeles District Office""]"
6,3734,0.3368474512405901,0.7501863547375061,122079,"[""Los Angeles District Office""]"
6,3735,0.19318461973940118,0.7928997324616269,109517,"[""Los Angeles District Office""]"
6,3736,0.17391304347826086,0.8227202770296268,62376,"[""Los Angeles District Office""]"
6,3737,0.23718010313570995,0.9664328496845073,62442,"[""Los Angeles District Office""]"
